epoch,train_loss,train_acc,val_loss,val_acc,lr,best_acc
1,3.7563,40.83,1.4054,53.61,0.002000,53.61
2,1.3704,55.02,1.2695,58.53,0.002000,58.53
3,1.2588,59.80,1.2259,63.16,0.001998,63.16
4,1.1475,65.48,1.1059,67.91,0.001996,67.91
5,1.0792,68.95,1.1363,64.66,0.001992,67.91
6,1.0138,72.20,1.0592,70.43,0.001988,70.43
7,0.9804,74.10,1.1437,67.85,0.001982,70.43
8,0.9479,75.66,1.0724,69.41,0.001976,70.43
9,0.9249,77.21,1.0829,68.93,0.001969,70.43
10,0.8721,79.14,1.1146,69.53,0.001960,70.43
11,0.8414,81.66,1.1204,68.75,0.001951,70.43
12,0.8208,82.32,1.0935,70.37,0.001941,70.43
13,0.7769,84.71,1.1213,68.21,0.001930,70.43
14,0.7548,86.04,1.1394,70.25,0.001918,70.43
15,0.7348,86.81,1.1419,68.45,0.001905,70.43
16,0.7139,87.83,1.2367,68.99,0.001891,70.43
17,0.6943,88.57,1.2918,66.17,0.001876,70.43
18,0.6525,90.65,1.3614,66.83,0.001861,70.43
19,0.6546,90.68,1.1814,70.19,0.001844,70.43
20,0.6186,92.61,1.2168,68.93,0.001827,70.43
21,0.6040,92.97,1.2651,68.87,0.001809,70.43
22,0.5956,93.31,1.2987,67.97,0.001790,70.43
23,0.5879,93.61,1.2800,68.51,0.001771,70.43
24,0.5878,93.58,1.2280,69.89,0.001750,70.43
25,0.5754,94.67,1.2594,69.83,0.001729,70.43
26,0.5565,95.12,1.2929,69.11,0.001707,70.43
27,0.5507,95.53,1.2877,68.99,0.001685,70.43
28,0.5507,95.45,1.3114,67.91,0.001661,70.43
29,0.5403,95.96,1.2681,69.59,0.001638,70.43
30,0.5340,96.27,1.2826,68.93,0.001613,70.43
31,0.5392,96.23,1.2554,71.75,0.001588,71.75
32,0.5368,96.31,1.2942,68.51,0.001562,71.75
33,0.5234,96.72,1.2585,70.25,0.001536,71.75
34,0.5370,96.22,1.3611,68.39,0.001509,71.75
35,0.5209,96.75,1.3019,68.27,0.001482,71.75
36,0.5101,97.27,1.2939,70.73,0.001454,71.75
37,0.5103,97.36,1.3602,67.91,0.001426,71.75
38,0.5223,96.81,1.3118,68.81,0.001397,71.75
39,0.5113,97.32,1.2995,69.29,0.001368,71.75
40,0.4948,98.01,1.2792,70.73,0.001339,71.75
41,0.4944,98.12,1.2709,70.67,0.001309,71.75
42,0.4924,98.12,1.2991,69.65,0.001279,71.75
43,0.4939,97.98,1.3284,69.59,0.001249,71.75
44,0.4899,98.16,1.3303,70.37,0.001219,71.75
45,0.4943,97.91,1.2654,69.59,0.001188,71.75
46,0.4833,98.51,1.2782,70.79,0.001157,71.75
47,0.4785,98.80,1.3227,70.13,0.001126,71.75
48,0.4793,98.64,1.3294,70.31,0.001095,71.75
49,0.4783,98.63,1.2906,70.91,0.001063,71.75
50,0.4809,98.63,1.3223,70.13,0.001032,71.75
51,0.4779,98.84,1.3503,69.23,0.001001,71.75
52,0.4814,98.58,1.3275,69.83,0.000969,71.75
53,0.4754,98.83,1.3854,68.57,0.000938,71.75
54,0.4732,98.87,1.2988,70.31,0.000906,71.75
55,0.4688,99.20,1.3145,70.61,0.000875,71.75
56,0.4722,99.01,1.3167,70.73,0.000844,71.75
57,0.4729,98.77,1.3232,70.19,0.000813,71.75
58,0.4673,99.01,1.3466,69.65,0.000782,71.75
59,0.4694,99.08,1.3460,70.43,0.000752,71.75
60,0.4754,98.77,1.3438,70.31,0.000722,71.75
61,0.4666,99.20,1.3205,70.67,0.000692,71.75
62,0.4616,99.40,1.3377,70.55,0.000662,71.75
63,0.4667,99.29,1.3130,70.91,0.000633,71.75
64,0.4672,99.16,1.3063,70.37,0.000604,71.75
65,0.4621,99.43,1.3219,70.31,0.000575,71.75
66,0.4615,99.43,1.3462,69.77,0.000547,71.75
67,0.4647,99.22,1.3378,70.91,0.000519,71.75
68,0.4604,99.38,1.3243,70.13,0.000492,71.75
69,0.4573,99.59,1.3195,71.21,0.000465,71.75
70,0.4574,99.61,1.3250,70.49,0.000439,71.75
71,0.4585,99.53,1.3198,70.25,0.000413,71.75
72,0.4579,99.53,1.3271,71.15,0.000388,71.75
73,0.4605,99.46,1.3482,70.55,0.000363,71.75
74,0.4581,99.49,1.3307,71.09,0.000340,71.75
